Filière,Produit,Production_Tonnes,year
agrumes,Orange Salustiana,25200.05,2015
agrumes,Orange Washignton Sanguine,70288.8999999999,2015
agrumes,Pamplemousse,346.275,2015
agrumes,Petit Fruit Autres,65147.8,2015
agrumes,Petit Fruit Fortune,1506.0,2015
agrumes,Petit Fruit Nador Cott,112111.0,2015
agrumes,Petit Fruit Nour,112354.115,2015
agrumes,Petit Fruit Nova,16017.08,2015
agrumes,Petit Fruit Nules,123250.3,2015
agrumes,Petit Fruit Ortanique,18549.2,2015
amandiers,Amandier,97722.95637,2015
céréales,Autres Céréales,12878.5,2015
céréales,Avoine,42088.64,2015
céréales,Mais,95031.65,2015
céréales,Riz,63297.5,2015
céréales,Sorgho,5302.0,2015
fourragères,Autres Cultures Fourragères,112261.0,2015
fourragères,Lupin,49628.0,2015
fourragères,Mélange Fourrager,174434.0,2015
fourragères,Pois Fourrager,100460.0,2015
fourragères,Sorgho Fourrager,110720.0,2015
fourragères,Triticale,2331.0,2015
fourragères,Vesce Avoine,120580.0,2015
industrielles,Autres Cultures Industrielles,3423.0,2015
industrielles,Coriandre Récoltée,3505.0,2015
industrielles,Cornichon,5.7,2015
industrielles,Câprier,35616.0,2015
industrielles,Henné,7673.0,2015
industrielles,Piment De Cayenne,28.0,2015
industrielles,Rosier,433.05,2015
industrielles,Safran,4.202,2015
industrielles,Tabac,1062.0,2015
légumineuses,Autres Légumineuses,26535.8,2015
légumineuses,Fève,90279.350472973,2015
légumineuses,Féverole,29911.6,2015
légumineuses,Lentille,50003.95,2015
légumineuses,Orobe,2132.4,2015
légumineuses,Petit Pois,34781.75,2015
légumineuses,Pois Chiche,65558.99,2015
maraîchage,Ail,7397.0,2015
maraîchage,Artichaut,50744.0,2015
maraîchage,Asperge,658.0,2015
maraîchage,Aubergine,56877.0,2015
maraîchage,Betterave Potager,18703.5,2015
maraîchage,Choux Fleur,45625.0,2015
maraîchage,Choux Pomme,50662.0,2015
maraîchage,Concombre,55478.5,2015
maraîchage,Courge Courgette,201226.9,2015
maraîchage,Fraisier,141100.36,2015
maraîchage,Framboise,16957.6869097877,2015
maraîchage,Fève Verte,157236.0,2015
maraîchage,Haricot Vert,145661.2,2015
maraîchage,Menthe,99869.0,2015
maraîchage,Myrtille,8723.52187028656,2015
maraîchage,Navet,150816.74,2015
maraîchage,Niora,28704.0,2015
maraîchage,Oignon Vert,57493.0,2015
maraîchage,Patate Douce,17861.0,2015
maraîchage,Petit Pois Vert,128151.0,2015
maraîchage,Piment Poivron,177329.7,2015
oléagineuses,Arachide,33710.0,2015
oléagineuses,Sésame,1082.0,2015
