date,Produit,Production_tonnes
1983-01-01,Champignons et truffes,630.0
1984-01-01,Champignons et truffes,630.0
1985-01-01,Champignons et truffes,630.0
1986-01-01,Champignons et truffes,630.0
1987-01-01,Champignons et truffes,630.0
1988-01-01,Champignons et truffes,630.0
1989-01-01,Champignons et truffes,800.0
1990-01-01,Champignons et truffes,1000.0
1991-01-01,Champignons et truffes,1500.0
1992-01-01,Champignons et truffes,1700.0
1993-01-01,Champignons et truffes,1600.0
1994-01-01,Champignons et truffes,1700.0
1995-01-01,Champignons et truffes,1714.43
1996-01-01,Champignons et truffes,1700.0
1997-01-01,Champignons et truffes,1714.69
1998-01-01,Champignons et truffes,1750.0
1999-01-01,Champignons et truffes,1777.43
2000-01-01,Champignons et truffes,1800.0
2001-01-01,Champignons et truffes,1824.23
2002-01-01,Champignons et truffes,1850.0
2003-01-01,Champignons et truffes,1874.74
2004-01-01,Champignons et truffes,1900.0
2005-01-01,Champignons et truffes,1923.47
2006-01-01,Champignons et truffes,1958.38
2007-01-01,Champignons et truffes,1935.54
2008-01-01,Champignons et truffes,1953.1
2009-01-01,Champignons et truffes,1970.66
2010-01-01,Champignons et truffes,1988.21
2011-01-01,Champignons et truffes,2005.77
2012-01-01,Champignons et truffes,2023.32
2013-01-01,Champignons et truffes,2040.88
2014-01-01,Champignons et truffes,2069.19
2015-01-01,Champignons et truffes,2097.21
2016-01-01,Champignons et truffes,2112.1
2017-01-01,Champignons et truffes,2135.12
2018-01-01,Champignons et truffes,2146.62
2019-01-01,Champignons et truffes,2169.23
2020-01-01,Champignons et truffes,2195.26
2021-01-01,Champignons et truffes,2202.78
2022-01-01,Champignons et truffes,2219.39
2023-01-01,Champignons et truffes,2237.55
1961-01-01,Citrons et limes,11000.0
1962-01-01,Citrons et limes,7000.0
1963-01-01,Citrons et limes,8000.0
1964-01-01,Citrons et limes,9000.0
1965-01-01,Citrons et limes,8000.0
1966-01-01,Citrons et limes,9000.0
1967-01-01,Citrons et limes,6000.0
1968-01-01,Citrons et limes,4000.0
1969-01-01,Citrons et limes,3000.0
1970-01-01,Citrons et limes,4000.0
1971-01-01,Citrons et limes,3300.0
1972-01-01,Citrons et limes,4000.0
1973-01-01,Citrons et limes,4500.0
1974-01-01,Citrons et limes,10000.0
1975-01-01,Citrons et limes,10000.0
1976-01-01,Citrons et limes,3000.0
1977-01-01,Citrons et limes,5000.0
1978-01-01,Citrons et limes,10000.0
1979-01-01,Citrons et limes,15000.0
1980-01-01,Citrons et limes,12000.0
1981-01-01,Citrons et limes,15000.0
1982-01-01,Citrons et limes,27000.0
1983-01-01,Citrons et limes,27000.0
1984-01-01,Citrons et limes,30000.0
1985-01-01,Citrons et limes,30000.0
1986-01-01,Citrons et limes,28000.0
1987-01-01,Citrons et limes,30000.0
1988-01-01,Citrons et limes,20000.0
1989-01-01,Citrons et limes,18000.0
1990-01-01,Citrons et limes,15000.0
1991-01-01,Citrons et limes,20000.0
1992-01-01,Citrons et limes,15000.0
1993-01-01,Citrons et limes,20000.0
1994-01-01,Citrons et limes,20000.0
1995-01-01,Citrons et limes,12000.0
1996-01-01,Citrons et limes,20000.0
1997-01-01,Citrons et limes,17000.0
1998-01-01,Citrons et limes,21000.0
1999-01-01,Citrons et limes,9000.0
2000-01-01,Citrons et limes,14000.0
2001-01-01,Citrons et limes,6000.0
2002-01-01,Citrons et limes,11400.0
2003-01-01,Citrons et limes,12300.0
2004-01-01,Citrons et limes,8900.0
2005-01-01,Citrons et limes,21000.0
2006-01-01,Citrons et limes,22100.0
2007-01-01,Citrons et limes,22000.0
2008-01-01,Citrons et limes,22600.0
2009-01-01,Citrons et limes,24000.0
2010-01-01,Citrons et limes,22498.0
2011-01-01,Citrons et limes,24000.0
2012-01-01,Citrons et limes,27278.0
2013-01-01,Citrons et limes,28141.79
2014-01-01,Citrons et limes,26450.59
2015-01-01,Citrons et limes,29592.75
2016-01-01,Citrons et limes,36308.78
2017-01-01,Citrons et limes,40114.3
2018-01-01,Citrons et limes,39686.81
2019-01-01,Citrons et limes,44919.04
2020-01-01,Citrons et limes,34599.92
2021-01-01,Citrons et limes,41197.0
2022-01-01,Citrons et limes,48956.8
2023-01-01,Citrons et limes,38197.79
1961-01-01,Coings,30.0
1962-01-01,Coings,50.0
1963-01-01,Coings,50.0
1964-01-01,Coings,100.0
1965-01-01,Coings,100.0
1966-01-01,Coings,200.0
1967-01-01,Coings,200.0
1968-01-01,Coings,300.0
